Time,BM7,BM8,BM9,BM10
0.5102,7,6,4,5
0.5108,4,6,8,4
0.5113,7,5,4,8
0.5119,6,8,8,8
0.5124,6,7,3,3
0.5129,5,3,8,2
0.5136,6,5,3,10
0.5141,7,8,7,4
0.5147,5,5,5,6
0.5152,6,8,6,6
0.5158,11,7,7,6
0.5164,6,6,10,5
0.517,2,6,6,6
0.5177,6,7,5,11
0.5183,6,9,7,9
0.5188,3,8,9,4
0.5193,3,5,5,8
0.5199,6,6,5,5
0.5204,11,5,4,7
0.521,9,5,10,9
0.5216,6,9,5,7
0.5221,6,7,10,2
0.5227,5,12,7,5
0.5233,8,4,6,11
0.5238,4,6,4,10
0.5244,8,6,6,7
0.5249,3,8,13,8
0.5255,5,6,5,8
0.526,8,7,8,4
0.5266,6,6,6,3
0.5271,2,9,12,6
0.5277,7,8,5,8
0.5282,4,9,9,8
0.5287,7,9,6,2
0.5293,7,8,8,7
0.5298,3,7,7,6
0.5303,6,7,6,9
0.5309,10,5,6,7
0.5315,5,4,11,4
0.5322,4,5,5,5
0.5327,6,6,5,6
0.5333,6,5,4,7
0.5339,4,7,7,4
0.5344,4,6,5,9
0.5349,5,7,5,6
0.5355,7,7,5,8
0.536,3,9,4,4
0.5366,2,6,9,9
0.5373,4,0,6,7
0.5379,2,7,2,9
0.5384,7,6,3,6
0.539,8,7,10,2
0.5396,8,7,1,7
0.5401,5,4,4,5
0.5407,10,3,9,9
0.5413,6,6,11,6
0.5419,6,9,4,5
0.5425,7,4,4,8
0.543,7,6,6,6
0.5435,5,7,9,7
0.5441,6,7,6,7
0.5446,2,6,6,6
0.5451,8,5,6,2
0.5457,2,9,4,6
0.5463,2,6,7,8
0.547,4,6,5,11
0.5475,7,6,7,7
0.5481,4,8,7,5
0.5487,4,5,4,11
0.5492,1,8,6,9
0.5498,3,8,6,3
0.5504,5,10,8,5
0.5509,5,8,6,8
0.5514,4,8,5,4
0.552,2,7,5,7
0.5525,5,9,8,6
0.5531,6,8,7,12
0.5537,8,11,7,9
0.5542,6,5,9,6
0.5547,5,7,5,5
0.5553,4,6,7,10
0.5558,6,4,7,6
0.7164,11,8,3,8
0.7172,5,7,10,5
0.718,7,10,6,7
0.7187,5,7,7,4
0.7195,4,7,4,7
0.7202,6,5,11,7
0.7209,4,8,8,8
0.7217,1,6,5,5
0.7225,6,6,2,12
0.7233,5,7,7,4
0.7239,4,8,4,6
0.7247,2,10,8,6
0.7255,9,6,7,7
0.7262,3,6,11,7
0.727,3,8,8,5
0.7277,6,7,5,2
0.7284,8,5,6,7
0.7292,5,6,10,7
0.7299,5,7,4,10
0.7307,3,10,7,5
0.7315,5,10,5,8
0.7326,6,5,11,3
0.7337,5,5,5,9
0.7346,5,5,5,8
0.7354,7,9,9,5
0.7361,4,7,4,4
0.7368,4,9,5,8
0.7378,5,6,8,0
0.7386,5,8,5,6
0.7397,6,9,10,3
0.7407,5,8,5,9
0.7415,6,5,5,9
0.7423,9,7,5,9
