Time,BM7,BM8,BM9,BM10
213.8832,89,10,10,4
213.9114,86,3,8,3
213.9361,7,8,8,2
213.9647,7,7,6,2
213.9974,89,10,11,2
214.0222,91,7,10,2
214.0507,11,9,5,1
214.0754,7,4,3,3
214.1043,87,5,9,4
214.1328,91,7,8,6
214.1614,7,7,8,6
214.19,10,4,8,3
214.2187,88,5,9,6
214.2473,87,6,5,5
214.2721,7,6,4,5
214.3006,9,4,6,3
214.33,2,8,10,4
214.3579,5,9,4,8
214.3826,5,5,5,8
214.4112,4,8,6,5
214.4398,2,5,8,0
214.4684,5,10,8,3
214.4931,2,8,6,3
214.5257,5,7,13,3
214.5505,8,5,8,6
214.579,7,8,6,4
214.6076,6,7,4,3
214.6324,8,5,6,4
214.661,9,7,3,5
214.6897,91,5,8,5
214.7183,0,3,9,6
214.7469,8,7,6,2
214.7756,89,8,7,3
214.8042,85,8,8,6
214.8289,9,3,7,7
214.8578,6,4,9,3
214.8862,6,4,9,6
214.915,92,8,10,3
214.9435,93,9,8,7
214.9683,9,11,8,5
214.997,11,3,6,5
215.0256,56,9,5,5
215.0542,89,6,9,8
215.0793,7,8,6,2
215.1115,4,8,11,6
215.1365,10,7,8,3
215.1649,88,7,5,7
215.1934,0,9,9,3
215.2221,5,5,6,6
215.2468,4,4,7,2
215.2757,13,7,3,2
215.3041,89,6,9,5
215.3334,88,4,6,2
215.3613,0,6,7,3
215.3902,12,7,6,2
215.4147,90,6,8,4
215.4434,94,5,6,6
215.4719,11,3,8,4
215.5007,12,5,8,4
215.5293,90,7,6,4
215.5579,92,6,9,6
215.5827,10,7,6,3
215.6113,7,7,5,4
215.6399,8,10,12,6
215.6685,90,8,8,2
215.6971,97,7,7,4
215.7258,7,10,12,4
215.7505,5,5,5,5
215.7792,90,5,9,4
215.8078,90,8,8,2
215.8367,1,4,11,0
215.8616,6,5,8,5
215.8903,12,7,5,1
215.919,89,8,5,1
215.9474,91,3,10,4
215.9762,2,10,7,7
216.0004,8,7,6,6
216.0335,96,6,6,4
216.0578,86,4,9,9
216.0864,7,5,2,1
216.115,7,5,5,3
216.1437,85,6,7,2
216.1723,41,8,8,3
216.1971,3,8,5,7
216.2256,8,10,6,4
216.2542,90,3,6,3
216.2828,3,5,8,6
216.3115,6,9,11,6
216.3362,3,3,6,7
216.365,90,4,5,4
216.3935,12,5,9,3
216.4221,5,10,6,4
216.4508,7,6,12,4
216.4756,89,9,7,5
216.5042,3,8,4,3
216.5328,10,7,3,5
216.5614,5,9,5,3
216.5901,89,5,8,5
216.6187,10,8,6,6
216.6435,6,9,10,2
216.6721,8,8,5,2
216.7008,88,5,7,2
216.7257,7,8,3,7
216.7544,7,6,4,1
216.783,8,5,7,0
216.8114,94,7,6,4
216.84,71,7,9,0
216.8686,8,8,6,8
216.8973,7,11,4,5
216.922,11,5,8,2
216.9506,80,6,8,0
216.9792,8,4,7,6
217.0078,7,4,8,8
217.0326,6,5,8,1
217.0612,77,6,9,2
217.0898,7,10,8,5
217.1185,6,6,11,7
217.1471,4,4,6,5
217.1757,88,6,9,4
217.2004,12,4,7,5
217.2292,5,11,5,4
217.2579,4,4,8,3
217.2864,90,7,4,2
217.315,12,7,6,0
217.3398,11,7,6,3
217.3684,7,8,9,4
217.3971,90,6,4,8
217.4257,89,9,5,4
217.4544,10,5,6,4
217.483,5,7,11,4
217.5082,86,6,8,5
217.5365,90,6,4,3
217.5656,10,8,6,4
217.5945,3,7,11,3
217.6183,9,6,4,3
217.6472,91,7,5,4
217.6759,87,5,4,4
217.7042,7,5,10,5
217.7328,2,6,5,5
217.7576,5,7,9,3
217.7901,88,6,5,1
217.8149,10,5,6,2
217.8434,7,7,12,4
217.8721,4,6,7,7
217.9007,88,9,7,5
217.9293,10,9,4,0
217.954,8,8,5,4
217.9827,8,8,7,3
218.0113,87,9,3,7
218.04,73,3,6,6
218.0646,9,8,7,5
218.0933,9,8,7,4
218.1219,92,7,7,8
218.1506,87,7,8,3
218.1792,9,5,5,5
218.204,8,9,8,0
218.2365,90,6,6,7
218.2612,88,7,7,9
218.2899,8,6,7,5
218.3185,11,9,8,6
218.3473,8,5,10,9
218.3758,89,5,8,5
218.4045,92,10,2,6
218.4333,11,8,13,3
218.4579,5,4,8,10
218.4866,88,5,10,1
218.5152,87,9,8,3
218.5438,8,8,10,4
218.569,4,5,7,11
218.5977,9,7,5,5
218.6263,92,7,5,6
218.6547,88,6,11,8
218.6794,7,9,5,4
218.7078,11,5,8,2
218.7367,87,6,3,6
218.7652,89,5,2,8
218.7936,8,6,6,8
218.8184,6,4,9,7
218.847,7,8,9,9
218.8796,88,11,10,6
218.9043,88,6,7,8
218.933,10,8,9,5
218.9616,8,5,9,8
218.9864,5,9,9,6
219.0151,20,8,8,5
219.0436,6,4,9,9
219.0722,6,9,8,7
219.1009,6,5,4,7
219.1299,10,2,9,10
219.1583,91,6,10,4
219.1832,8,8,6,8
219.2115,6,7,6,5
219.2401,5,7,5,5
219.2694,91,9,5,7
219.2935,7,7,12,6
219.322,7,9,3,9
219.3506,6,4,6,4
219.3793,88,4,7,8
219.408,83,6,9,9
219.4326,5,4,6,11
219.4613,8,5,9,6
219.4899,93,8,6,4
219.5186,92,8,11,6
219.5472,8,5,5,7
219.5759,7,7,10,7
219.6006,10,5,9,8
219.6293,90,9,12,6
219.6579,91,5,6,6
219.6865,8,7,4,10
219.7151,8,5,5,10
219.7438,88,6,9,4
219.7686,89,8,7,7
219.7973,12,4,6,5
219.8258,6,7,9,6
219.8544,6,8,9,5
219.8832,90,5,6,7
219.9085,85,7,7,3
219.9368,12,5,7,7
219.9656,7,8,11,5
219.9942,86,5,8,8
220.0227,90,9,4,6
220.0515,10,4,5,9
220.0758,7,8,12,6
220.1043,7,7,6,9
220.1331,89,6,7,6
220.1621,56,5,7,4
220.1865,8,5,9,7
220.2152,10,6,8,4
220.2436,88,9,5,7
220.2724,93,6,8,6
220.3009,6,5,10,6
220.3255,7,4,4,8
220.3542,10,8,9,9
220.3829,91,5,4,7
220.4117,87,7,12,5
220.4401,8,8,9,7
220.4687,8,3,5,10
220.4974,85,6,5,9
220.5222,89,5,8,6
220.5508,5,4,8,9
220.5794,6,6,10,6
220.6081,4,5,10,7
220.6369,11,8,4,10
220.6617,8,5,12,5
220.69,5,6,5,8
220.7189,3,3,8,6
220.7473,6,6,7,3
220.774,6,6,9,8
220.8012,12,8,6,7
220.8297,5,10,9,6
220.8583,8,5,11,4
220.887,3,7,7,8
220.9113,5,7,6,8
220.9399,4,5,4,5
220.9686,12,8,5,4
220.9972,5,7,7,4
221.0219,6,8,6,4
221.0545,90,5,6,8
221.0793,7,6,5,8
221.1078,11,5,9,5
221.1364,88,6,7,6
221.1653,90,6,5,3
221.1937,5,5,10,9
221.2184,9,5,9,5
221.2511,91,5,11,5
221.2757,91,4,7,2
221.3043,12,7,8,7
221.329,8,7,8,5
221.3617,90,4,12,8
221.3904,90,11,4,6
221.415,9,5,6,6
221.4437,11,5,7,7
221.4723,93,6,8,8
221.5009,89,8,3,6
221.5295,9,4,10,6
221.5544,3,10,6,7
221.5829,87,4,5,7
221.6115,90,5,6,7
221.6402,13,7,9,5
221.665,7,9,7,5
221.694,8,7,12,7
221.7222,93,5,5,6
221.751,36,7,10,6
221.7795,6,8,4,4
221.8082,9,7,12,5
221.8368,87,8,7,7
221.8619,90,3,6,3
221.8908,7,7,8,8
221.9192,6,6,9,6
221.9437,7,5,6,7
221.9764,92,8,6,4
222.0008,12,4,9,3
222.0294,4,8,4,6
222.058,6,4,12,7
222.0828,5,5,8,7
222.1153,91,4,6,5
222.1401,12,8,6,4
222.1686,10,2,8,6
222.1974,90,5,9,11
222.226,91,6,10,11
222.2545,6,10,9,7
222.2792,6,6,13,5
222.3078,8,7,6,9
222.3365,86,3,8,5
222.3652,10,4,8,7
222.3899,9,7,6,7
222.4185,4,5,9,7
222.4475,75,7,9,5
222.4758,7,7,7,6
222.5045,10,4,6,6
222.5292,9,5,6,6
222.5617,6,6,12,5
222.5865,6,4,9,9
222.6151,9,5,7,9
222.6438,91,7,7,5
222.6726,62,6,5,6
222.701,4,7,12,5
222.7262,8,8,6,6
222.7548,9,4,8,10
222.7838,4,5,9,10
222.8118,11,4,11,5
222.8364,9,8,9,7
222.865,3,5,8,7
222.8939,87,7,4,8
222.9222,6,3,8,6
222.9509,7,7,8,7
222.9795,7,9,11,6
223.0043,10,6,8,5
223.0328,10,7,8,6
223.0614,5,8,4,5
223.0901,5,5,12,1
223.1187,93,9,5,5
223.1435,4,5,10,5
223.1721,10,5,10,4
223.2008,4,9,9,7
223.2295,11,4,13,6
223.2581,13,9,8,6
223.2826,4,7,8,6
223.3113,8,5,5,10
223.3399,7,5,8,5
223.3687,8,4,8,5
223.3972,9,10,5,7
223.426,9,11,10,6
223.4546,86,3,5,11
223.4794,60,8,4,7
223.508,11,4,5,6
223.5326,7,7,8,5
223.5618,7,6,8,5
223.59,7,7,10,6
223.619,4,7,6,6
223.6472,4,5,10,7
223.6761,10,5,8,5
223.7006,6,8,9,8
223.7293,3,9,10,5
223.7577,7,5,9,8
223.7863,7,7,5,7
223.815,72,5,5,5
223.8397,5,9,11,9
223.8684,5,7,12,7
223.897,6,5,6,6
223.9257,9,4,6,8
223.9503,8,5,5,5
223.9791,9,6,8,6
224.0076,9,6,7,7
224.0363,86,6,11,5
224.0649,9,8,7,6
224.0897,9,9,3,6
224.1183,6,4,7,7
224.1469,94,6,9,2
224.1757,7,6,11,5
224.2042,6,6,7,8
224.229,9,5,7,7
224.2614,10,7,7,7
224.2864,15,5,6,9
224.3149,5,7,6,7
224.3436,9,8,10,6
224.3686,9,5,7,9
224.3975,3,5,4,7
224.4258,7,5,8,6
224.4547,10,4,6,7
224.4832,9,9,6,4
224.5117,92,5,6,9
224.5361,5,5,8,4
224.5647,5,5,4,8
224.5933,5,4,9,5
224.6219,93,7,6,8
224.6506,72,3,7,11
224.6792,5,7,10,10
224.704,14,5,7,7
224.7326,90,8,5,7
224.7614,13,5,9,11
224.7898,4,7,7,7
224.8145,9,6,4,5
224.8432,90,8,8,3
224.8758,93,4,6,10
224.9005,8,4,4,2
224.9293,11,4,11,4
224.9545,8,8,8,6
224.9865,91,6,8,9
225.0116,4,6,5,5
225.0399,8,5,7,7
225.0685,12,7,8,4
225.0974,12,6,2,6
225.1261,63,5,11,5
225.1507,4,3,5,4
225.1791,9,9,6,7
225.2077,8,8,7,7
225.2366,93,8,8,6
225.2613,8,7,8,3
225.2896,8,5,8,8
225.3182,8,5,7,6
225.3469,92,5,4,6
225.3755,8,8,6,7
225.4043,11,5,10,10
225.4289,7,4,8,7
225.4575,91,9,5,5
225.4862,86,8,9,3
225.5149,9,4,7,12
225.5435,27,5,7,4
225.5721,92,5,6,2
225.6008,90,5,12,7
225.6254,8,7,7,7
225.654,8,4,5,8
225.6827,8,4,9,9
225.7114,94,10,5,5
225.7362,9,4,12,9
225.7649,4,7,9,7
225.7935,9,8,7,7
225.8221,93,7,4,5
225.8507,9,7,13,6
225.8755,5,7,10,9
225.9043,8,3,9,6
225.9332,5,8,4,8
225.9613,90,7,5,5
225.986,8,7,9,7
226.0147,4,6,9,7
226.0433,5,7,5,9
226.072,91,4,7,4
226.1005,5,6,5,7
226.1292,9,10,7,9
226.154,6,5,9,7
226.1825,5,7,6,7
226.2111,13,7,8,6
226.2397,8,7,3,3
226.2687,11,6,5,2
226.2931,91,9,7,5
226.3218,89,3,7,4
226.3504,2,3,5,7
226.379,11,3,7,6
226.4039,9,6,5,7
226.4365,86,6,12,5
226.4611,8,6,7,3
226.4897,3,6,7,6
226.5186,22,11,7,5
226.547,89,8,8,7
226.5717,6,2,9,7
226.6004,5,1,5,5
226.6292,7,6,12,5
226.6577,91,9,6,5
226.6863,8,5,10,8
226.715,6,7,10,9
226.7396,5,7,8,6
226.7691,91,7,6,6
226.7969,8,7,10,3
226.826,9,5,8,5
226.8503,7,8,6,9
226.8788,92,6,8,6
226.9075,83,9,3,7
226.9361,8,4,6,7
226.9647,5,4,7,9
226.9935,11,8,7,5
227.022,87,2,7,7
227.0467,7,5,5,7
227.0754,7,4,10,6
227.1039,6,5,5,7
227.1326,91,8,7,3
227.1613,10,5,9,6
227.186,8,4,8,6
227.2147,9,6,7,5
227.2435,90,5,9,10
227.2721,33,4,8,7
227.3006,10,7,5,8
227.3254,5,8,10,2
227.354,8,7,10,7
227.3826,7,3,2,9
227.4112,9,7,6,7
227.44,10,8,8,5
227.4646,9,5,3,6
227.4933,91,8,9,6
227.5218,7,6,8,9
227.5505,10,3,7,8
227.5753,5,4,7,5
227.6038,88,7,8,6
227.6364,21,4,11,4
227.6612,4,6,7,6
227.6897,8,4,5,5
227.7183,90,7,5,3
227.7471,89,3,12,5
227.7718,9,9,5,7
227.8003,7,3,10,5
227.8289,9,7,5,4
227.8576,92,6,7,4
227.8824,8,5,9,7
227.911,5,4,8,7
227.9396,5,7,7,5
227.9683,89,5,5,3
227.997,88,7,12,7
228.0222,6,4,9,8
228.0505,6,5,1,7
228.0794,48,6,9,4
228.1079,86,9,8,4
228.1367,4,6,10,6
228.1651,10,6,9,6
228.1895,4,5,0,6
228.2182,89,8,4,6
228.2468,7,8,8,6
228.2754,7,8,8,4
228.3042,11,8,8,9
228.3328,85,8,7,3
228.3617,90,11,7,9
228.3862,0,0,0,0
228.4146,2,0,2,0
228.4433,1,0,5,0
228.4719,86,3,0,3
228.4966,0,0,8,4
228.5252,5,4,2,0
228.5538,5,5,5,0
228.5826,91,1,0,3
228.6112,85,4,7,0
228.636,5,2,6,6
228.6645,8,1,1,7
228.6935,89,1,6,7
228.7218,92,7,2,4
228.7466,2,2,4,5
228.7753,6,4,1,5
228.804,88,4,3,4
228.8326,90,8,1,2
228.8612,6,5,3,4
228.8898,7,2,1,8
228.9145,7,3,2,5
228.9438,86,2,4,6
228.9718,33,8,3,5
229.0011,7,3,7,5
229.029,5,4,4,7
229.0541,9,4,6,3
229.0824,83,2,2,5
229.111,5,10,5,2
229.1396,77,5,1,7
229.1682,6,4,3,0
229.1932,8,4,6,1
229.2216,10,7,2,6
229.2502,6,8,3,5
229.2788,2,5,5,8
229.3076,90,3,4,5
229.3361,72,2,0,4
229.3609,6,0,7,3
229.3895,3,7,3,5
229.4183,93,6,7,7
229.4469,82,5,5,7
229.4755,8,2,1,7
229.5006,2,9,2,4
229.5296,89,3,5,4
229.5575,88,2,2,3
229.5861,6,2,2,2
229.6147,9,7,3,6
229.6434,88,7,5,7
229.672,88,6,6,5
229.6967,8,5,4,2
229.7253,9,4,4,4
229.7539,8,6,9,3
229.7826,89,2,2,6
229.8073,5,5,3,6
229.836,8,5,4,5
229.8646,6,5,3,3
229.8934,91,4,9,6
229.918,5,3,3,7
229.9466,7,6,5,1
229.9753,8,3,6,7
230.004,93,9,3,7
230.0326,50,3,4,5
230.0614,4,3,5,4
230.0864,4,6,4,5
230.1146,86,5,1,2
230.1432,55,4,9,2
230.1719,8,4,1,5
230.2005,5,3,1,6
230.2252,6,5,5,5
230.2538,40,2,6,3
230.2828,3,7,6,4
230.311,6,4,8,3
230.3402,90,5,5,4
230.3684,85,5,2,7
230.3935,11,7,7,6
230.4217,7,3,11,4
230.4503,89,1,9,2
230.4789,85,2,6,4
230.5075,7,6,4,3
230.5324,4,9,5,4
230.5609,6,3,3,5
230.5897,90,5,6,3
230.6183,11,1,6,1
230.6468,6,6,4,4
230.6717,6,5,9,3
230.7003,87,5,6,1
230.7289,8,5,6,3
230.7576,10,1,7,4
230.7862,9,5,4,4
230.815,88,9,4,5
230.8395,4,5,2,3
230.8681,8,2,5,2
230.8967,5,2,4,3
230.9255,10,2,6,3
230.9502,7,3,2,3
230.9786,6,2,7,4
231.0073,11,4,5,7
231.036,88,6,5,4
231.0646,6,2,7,3
231.0933,10,7,6,4
231.1179,7,5,6,4
231.1466,91,1,6,3
231.1752,9,2,5,4
231.2038,8,5,4,2
231.2287,7,4,3,7
231.2573,4,3,7,5
231.286,86,1,9,6
231.3146,4,2,5,3
231.3433,2,3,4,1
231.3718,39,4,4,5
231.3966,91,4,4,8
231.4252,7,4,5,5
231.4538,6,3,4,6
231.4824,6,4,5,3
231.5072,8,4,7,4
231.5357,5,7,7,4
231.5643,5,7,7,4
231.593,4,4,0,8
231.6216,86,2,6,4
231.6503,91,8,4,4
231.675,8,4,8,6
231.7037,6,2,6,7
231.7322,5,3,4,2
231.7609,88,3,6,3
231.7857,8,2,5,0
231.8182,10,5,5,7
231.843,2,3,9,5
231.8717,88,3,6,7
231.9002,7,4,6,5
231.9256,8,3,6,6
231.9575,5,10,6,4
231.9862,91,3,4,10
232.0113,41,3,4,5
232.0399,13,2,2,6
232.0684,6,8,4,5
232.0969,89,4,5,8
232.1216,72,4,2,6
232.1501,8,3,0,4
232.1787,7,9,2,5
232.2074,87,3,6,11
232.236,86,6,4,6
232.2607,8,3,8,6
232.2893,7,6,5,4
232.3179,4,3,8,2
232.3466,88,3,6,4
232.3752,7,5,2,4
232.4,7,4,1,3
232.4287,10,2,5,4
232.4573,88,0,8,4
232.4859,5,3,5,7
232.5145,4,4,7,2
232.5397,5,2,4,3
232.5684,53,3,1,6
232.597,89,6,6,5
232.6259,9,6,5,4
232.6538,5,6,3,5
232.6786,5,3,6,5
232.7071,90,8,5,4
232.7357,7,4,5,0
232.7644,6,1,5,4
232.793,4,3,5,5
232.8216,89,3,3,8
232.8464,55,6,6,6
232.8751,5,6,4,8
232.9036,6,5,5,8
232.9323,93,3,7,5
232.9609,83,6,7,7
232.9857,6,2,5,7
233.0143,11,2,3,7
233.0429,7,4,5,6
233.0716,88,7,4,6
233.1003,8,2,11,6
233.125,3,4,7,5
233.1538,6,4,3,6
233.1822,6,2,5,5
233.211,6,4,1,4
233.2356,9,5,2,3
233.2642,6,2,2,8
233.2929,3,4,7,4
233.3214,87,5,6,6
233.35,7,6,4,7
233.3747,3,4,7,2
233.4034,9,3,4,5
233.4321,90,5,6,6
233.4606,2,1,6,9
233.4893,9,4,5,3
233.514,5,3,4,4
233.5466,93,6,3,4
233.5713,63,4,8,6
233.6,8,4,3,10
233.6285,4,4,3,3
233.6573,5,4,0,4
233.6859,89,7,6,5
233.7106,3,5,8,4
233.7394,7,6,2,7
233.768,5,3,4,6
233.7966,92,1,7,7
233.8213,4,6,4,7
233.8499,7,5,6,0
233.8786,1,4,3,6
233.9073,85,6,6,5
233.9359,76,5,6,0
233.9606,4,5,5,4
233.9891,9,6,8,5
234.0178,95,4,2,3
234.0465,89,4,4,6
234.075,4,4,4,8
234.0997,4,6,9,6
234.1284,4,3,9,8
234.1572,85,6,5,2
234.1857,11,4,2,5
234.2143,4,10,4,6
234.2429,3,7,7,7
234.2716,87,3,3,7
234.2964,71,3,5,5
234.325,4,9,5,6
234.3536,6,2,4,7
234.3823,90,3,2,6
234.4109,94,3,4,4
234.4361,4,5,3,7
234.4646,6,6,5,5
234.494,5,5,3,9
234.5219,91,4,5,5
234.5463,7,2,1,4
234.5748,7,1,6,2
234.6034,3,8,4,6
234.6321,85,3,4,8
234.6607,83,3,5,3
234.6856,9,5,5,3
234.7141,7,7,4,4
234.7427,6,3,5,6
234.7713,5,2,7,4
234.7999,6,0,3,6
234.8247,5,2,5,2
234.8533,5,4,4,4
234.8819,6,2,6,6
234.9107,7,4,4,5
234.9392,7,5,2,4
234.964,5,5,6,5
234.9926,4,1,6,4
235.0213,7,3,1,4
235.05,5,6,2,5
235.0786,5,4,2,5
235.1033,7,5,5,7
235.1319,93,3,4,6
235.1606,88,3,3,3
235.1893,8,6,4,4
235.2178,9,3,2,7
235.2465,86,6,10,6
235.2752,82,3,6,5
235.2999,7,3,5,5
235.3284,11,3,3,2
235.357,92,5,6,4
235.3857,88,2,0,4
235.4104,5,7,4,2
235.4392,10,2,3,6
235.4676,5,5,4,5
235.4964,90,5,4,6
235.5249,8,1,5,3
235.5497,7,5,3,5
235.5784,91,6,8,4
235.6071,90,1,4,6
235.6356,4,0,4,3
235.6642,6,9,6,3
235.6929,92,4,2,5
235.7216,88,4,5,6
235.7464,5,2,3,7
235.7752,3,4,3,8
235.8038,91,3,1,6
235.8325,89,2,6,7
235.8569,5,6,2,4
235.8858,6,2,4,6
235.9142,32,4,2,4
235.9436,84,3,6,2
235.9715,24,4,5,7
235.9962,5,2,6,6
236.0247,3,11,5,7
236.0534,88,8,2,3
236.082,57,2,1,7
236.1106,6,5,7,4
236.1355,5,3,0,3
236.1681,91,4,1,2
236.1929,57,5,9,2
236.2214,6,3,4,6
236.2499,7,2,2,2
236.2787,89,1,12,6
236.3073,81,3,4,6
236.332,8,4,0,8
236.3612,4,5,4,5
236.3893,90,3,4,7
236.4182,89,6,9,1
236.4426,4,4,7,5
236.4712,7,5,4,5
236.4999,3,7,5,3
236.5286,90,3,8,5
236.5571,7,4,5,5
236.5819,8,2,7,4
236.6104,4,2,7,8
236.6391,88,5,7,5
236.6677,1,1,5,6
236.6963,8,9,2,6
236.725,5,2,11,6
236.7537,92,7,4,4
236.7784,3,4,8,6
236.8069,8,4,6,5
236.8355,9,0,4,4
236.8643,88,4,9,4
236.8929,80,2,8,4
236.9176,7,5,7,5
236.9464,13,2,8,4
236.975,87,8,9,6
237.0036,87,4,3,5
237.0285,4,4,6,3
237.0576,9,7,6,8
237.0858,8,4,5,3
237.115,88,3,5,9
237.143,6,4,6,9
237.1676,5,6,4,6
237.1961,12,4,7,4
237.2248,89,4,7,5
237.2535,54,4,6,6
237.282,5,5,9,3
237.3106,10,1,5,3
237.3354,7,3,6,6
237.368,87,4,10,4
237.3927,4,7,11,5
237.4212,3,4,4,1
237.4501,10,3,5,3
237.4786,90,3,11,0
237.5032,6,6,4,9
237.5319,3,4,7,4
237.5605,5,3,8,4
237.5893,10,9,6,10
237.6178,50,6,9,7
237.6426,7,3,8,5
237.6712,4,3,8,5
237.6999,4,9,2,4
237.7286,87,2,7,8
237.7533,2,8,5,4
237.7819,7,4,10,5
237.8105,8,0,7,8
237.8392,85,6,7,6
237.8679,54,11,3,9
237.8925,6,8,9,5
237.9211,4,5,7,9
237.9498,85,6,7,6
237.9784,88,5,4,5
238.007,2,2,10,5
238.0357,6,2,8,8
238.0603,7,7,9,5
238.089,86,9,6,8
238.1176,4,2,3,5
238.1463,9,1,7,5
238.1749,8,1,5,5
238.2037,90,3,7,5
238.2284,79,4,3,5
238.257,6,6,12,7
238.2857,6,3,6,7
238.3143,88,8,3,1
238.3429,95,5,3,8
238.3716,4,2,11,8
238.3964,5,7,7,5
238.4254,7,4,6,3
238.4535,84,4,6,5
238.4784,7,4,5,2
238.5069,5,4,5,7
238.5355,6,1,7,5
238.5642,90,3,5,4
238.5927,90,2,3,5
238.6213,6,7,8,6
238.6461,6,4,8,8
238.6747,7,3,4,6
238.7034,89,4,3,3
238.732,8,8,5,3
238.7607,8,5,2,6
238.7854,8,6,4,4
238.8144,89,3,5,9
238.8426,6,4,3,3
238.8713,3,2,5,2
238.8999,10,4,6,5
238.9285,90,3,8,5
238.9533,83,2,4,3
238.9818,3,8,4,0
239.0105,9,2,8,5
239.0391,45,4,6,6
239.0678,93,5,8,8
239.0925,8,2,4,3
239.1212,6,3,4,8
239.1498,10,3,4,6
239.1785,89,3,14,5
239.2035,9,3,7,7
239.2323,5,5,4,6
239.2608,7,2,4,5
239.2895,87,9,8,4
239.318,86,3,3,7
239.3466,8,4,7,6
239.3711,7,4,3,4
239.3997,7,3,8,7
239.4284,47,6,4,5
239.4571,47,2,8,4
239.4856,6,6,8,6
239.5103,5,6,9,5
239.5389,83,4,8,3
239.5676,86,2,7,6
239.5962,7,2,7,7
239.6248,7,1,6,4
239.6535,43,6,6,5
239.6821,88,5,7,8
239.7068,6,2,7,8
239.7354,8,6,7,6
239.7641,7,1,7,5
239.7928,90,0,6,5
239.8176,5,5,7,0
239.8462,5,6,10,4
239.8749,6,5,4,8
239.9036,47,4,4,4
239.9325,91,6,5,1
239.9608,3,3,10,9
239.9857,4,4,6,8
240.0141,4,2,4,0
240.0429,89,3,7,5
240.0713,8,4,4,5
240.0961,8,6,6,2
240.1246,5,6,7,2
240.1532,86,3,2,5
240.1819,10,3,8,6
240.2105,10,2,6,0
240.2352,9,6,4,3
240.264,87,4,6,9
240.2926,90,3,1,1
240.3212,10,2,7,2
240.3497,6,7,3,7
240.3784,2,2,12,6
240.4071,88,3,4,4
240.4318,8,3,8,5
240.4605,10,7,7,9
240.4891,7,9,6,3
240.5178,91,4,4,8
240.5464,86,2,3,6
240.5711,9,2,5,5
240.5997,6,7,9,8
240.6285,6,5,10,10
240.6571,87,8,3,6
240.6818,6,3,7,5
240.7103,9,7,7,6
240.7389,6,9,4,6
240.7675,7,2,7,4
240.7963,68,8,7,10
240.8209,7,2,9,5
240.8496,9,4,8,5
240.8782,9,3,1,7
240.9069,91,3,7,5
240.9355,9,5,8,9
240.9606,5,5,5,3
240.9889,9,1,6,5
241.0176,90,7,6,7
241.0463,16,6,9,6
241.0748,8,3,7,7
241.0995,4,2,5,9
241.1281,90,2,4,7
241.1607,88,0,15,6
241.1854,8,2,5,11
241.214,6,4,3,4
241.2427,87,2,5,9
241.2715,87,5,8,6
241.296,9,3,7,9
241.3246,8,4,3,7
241.3533,8,2,4,6
241.3821,95,11,6,5
241.4106,4,3,11,9
241.4353,8,5,5,6
241.4644,4,3,5,7
241.4927,89,1,8,11
241.5218,13,5,10,4
241.5461,7,3,6,7
241.5746,9,6,5,7
241.6032,7,3,0,4
241.6319,76,1,3,5
241.6604,4,7,10,5
241.6852,6,8,6,9
241.7139,6,5,5,11
241.7424,6,4,7,7
241.7711,9,4,8,5
241.7997,8,3,8,5
241.8245,8,2,7,7
241.8533,89,3,3,8
241.8857,66,3,10,7
241.9103,9,4,9,9
241.939,4,7,7,5
241.9677,80,2,6,6
241.9964,88,5,7,6
242.0213,8,7,5,7
242.0507,3,7,7,6
242.0788,3,6,8,6
242.1033,5,6,8,8
242.1317,8,8,4,7
242.1603,9,3,6,3
242.189,1,5,7,10
242.2175,86,8,6,8
242.2462,5,3,11,5
242.2749,5,1,5,11
242.2995,8,5,7,4
242.3281,6,3,5,7
242.3567,6,2,6,6
242.3854,5,4,10,7
242.4101,3,3,9,5
242.4387,3,4,4,7
242.4673,3,2,8,8
242.496,7,3,6,6
242.5207,8,4,5,9
242.5533,82,8,2,6
242.5781,6,2,8,6
242.6068,9,6,7,10
242.6353,3,5,5,6
242.6641,90,2,6,6
242.6887,5,5,7,7
242.7175,6,7,10,5
242.746,9,3,5,12
242.7746,4,4,6,3
242.7992,8,4,5,4
242.8279,6,1,8,7
242.8565,6,3,7,5
242.8852,6,5,11,5
242.9137,7,4,9,9
242.9385,7,2,6,9
242.9672,4,2,7,4
242.9965,6,2,7,7
243.0245,8,6,7,6
243.0532,7,5,1,8
243.0816,1,6,12,5
243.1064,4,4,3,11
243.1351,7,4,2,4
243.1637,1,5,6,10
243.1923,7,3,9,6
243.2211,89,4,11,6
243.2497,85,4,9,6
243.2748,7,3,7,3
243.304,9,3,9,4
243.332,7,4,6,5
243.3603,89,4,10,3
243.385,6,4,8,6
243.4136,5,4,7,12
243.4421,8,6,6,7
243.4708,10,3,2,6
243.4954,6,0,8,5
243.5281,6,4,8,12
243.5528,7,3,5,8
243.5815,89,5,6,7
243.61,8,5,3,4
243.6348,7,6,4,4
243.6673,9,1,10,7
243.6921,5,6,9,9
243.7208,37,5,5,7
243.7494,6,7,7,6
243.7741,7,4,4,7
243.8036,4,8,5,6
243.8318,8,4,9,9
243.8604,8,7,8,7
243.8889,5,7,5,3
243.9134,3,3,5,4
243.9459,88,4,7,7
243.9706,4,7,8,4
243.9992,6,5,9,7
244.0278,3,6,8,11
244.0565,86,3,8,5
244.0852,4,5,10,5
